"ELANE","ERBB2","GADD45B","GNA15","F2RL1","G0S2","ITGB3"
"ELF4","ERBB3","GALM","GNAI3","FBXO4","GADD45A","JUN"
"EREG","EREG","GATA1","GP1BA","FCER1G","GADD45B","LEPR"
"ETS1","ETF1","GBP4","GPC3","FGF9","GCH1","LTB"
"F2","F2","GLIPR2","GPR132","FLT4","GEM","LTBR"
"F2R","F2R","GPR65","GPR183","FUCA1","GFPT2","MAP3K8"
"FAS","FAS","GPR83","HAS2","G0S2","GPR183","MYD88"
"FASLG","FASLG","GPX4","HBEGF","GABRA3","HBEGF","OSMR"
"FCGR2B","FDXR","GSTO1","HIF1A","GADD45G","HES1","PDGFC"
"FGR","FEZ1","GUCY1B1","HPN","GALNT3","ICAM1","PF4"
"FLNA","GADD45A","HIPK2","HRH1","GFPT2","ICOSLG","PIK3R5"
"FYB1","GADD45B","HK2","ICAM1","GLRX","ID2","PIM1"
"GALNT1","GCH1","HOPX","ICAM4","GNG11","IER2","PLA2G2A"
"GBP2","GNA15","HUWE1","ICOSLG","GPNMB","IER3","PTPN1"
"GCNT1","GPX1","HYCC2","IFITM1","GPRC5B","IER5","PTPN11"
"GLMN","GPX3","ICOS","IFNAR1","GUCY1A1","IFIH1","PTPN2"
"GPR65","GPX4","IFITM3","IFNGR2","GYPC","IFIT2","REG1A"
"GZMA","GSN","IFNGR1","IL10","H2BC3","IFNGR2","SOCS1"
"GZMB","GSR","IGF1R","IL10RA","HBEGF","IL12B","SOCS3"
"HCLS1","GSTM1","IGF2R","IL12B","HDAC9","IL15RA","STAM2"
"HDAC9","GUCY2D","IKZF2","IL15","HKDC1","IL18","STAT1"
"HIF1A","H1-0","IKZF4","IL15RA","HOXD11","IL1A","STAT2"
"HLA-A","HGF","IL10","IL18","HSD11B1","IL1B","STAT3"
"HLA-DMA","HMGB2","IL10RA","IL18R1","ID2","IL23A","TGFB1"
"HLA-DMB","HMOX1","IL13","IL18RAP","IGF2","IL6","TLR2"
"HLA-DOA","HSPB1","IL18R1","IL1A","IGFBP3","IL6ST","TNF"
"HLA-DOB","IER3","IL1R2","IL1B","IKZF1","IL7R","TNFRSF12A"
"HLA-DQA1","IFITM3","IL1RL1","IL1R1","IL10RA","INHBA","TNFRSF1A"
"HLA-DRA","IFNB1","IL2RA","IL2RB","IL1B","IRF1","TNFRSF1B"
"HLA-E","IFNGR1","IL2RB","IL4R","IL1RL2","IRS2","TNFRSF21"
"HLA-G","IGF2R","IL3RA","IL6","IL2RG","JAG1","TYK2"
"ICAM1","IGFBP6","IL4R","IL7R","IL33","JUN",NA
"ICOSLG","IL18","IRF4","INHBA","IL7R","JUNB",NA
"IFNAR2","IL1A","IRF6","IRAK2","INHBA","KDM6B",NA
"IFNG","IL1B","IRF8","IRF1","IRF8","KLF10",NA
"IFNGR1","IL6","ITGA6","IRF7","ITGA2","KLF2",NA
"IFNGR2","IRF1","ITGAE","ITGA5","ITGB2","KLF4",NA
"IGSF6","ISG20","ITGAV","ITGB3","ITGBL1","KLF6",NA
"IKBKB","JUN","ITIH5","ITGB8","JUP","KLF9",NA
"IL10","KRT18","KLF6","KCNA3","KCNN4","KYNU",NA
"IL11","LEF1","LCLAT1","KCNJ2","KIF5C","LAMB3",NA
"IL12A","LGALS3","LIF","KCNMB2","KLF4","LDLR",NA
"IL12B","LMNA","LRIG1","KIF1B","LAPTM5","LIF",NA
"IL12RB1","LUM","LRRC8C","KLF6","LAT2","LITAF",NA
"IL13","MADD","LTB","LAMP3","LCP1","MAFF",NA
"IL15","MCL1","MAFF","LCK","LIF","MAP2K3",NA
"IL16","MGMT","MAP3K8","LCP2","LY96","MAP3K8",NA
"IL18","MMP2","MAP6","LDLR","MAFB","MARCKS",NA
"IL18RAP","NEDD9","MAPKAPK2","LIF","MALL","MCL1",NA
"IL1B","NEFH","MUC1","LPAR1","MAP3K1","MSC",NA
"IL2","PAK1","MXD1","LTA","MAP4K1","MXD1",NA
"IL27RA","PDCD4","MYC","LY6E","MAP7","MYC",NA
"IL2RA","PDGFRB","MYO1C","LYN","MMD","NAMPT",NA
"IL2RB","PEA15","MYO1E","MARCO","MMP10","NFAT5",NA
"IL2RG","PLAT","NCOA3","MEFV","MMP11","NFE2L2",NA
"IL4","PLCB2","NCS1","MEP1A","MMP9","NFIL3",NA
"IL4R","PLPPR4","NDRG1","MET","MPZL2","NFKB1",NA
"IL6","PMAIP1","NFIL3","MMP14","MTMR10","NFKB2",NA
"IL7","PPP2R5B","NFKBIZ","MSR1","MYCN","NFKBIA",NA
"IL9","PPP3R1","NOP2","MXD1","NAP1L2","NFKBIE",NA
"INHBA","PPT1","NRP1","MYC","NGF","NINJ1",NA
"INHBB","PRF1","NT5E","NAMPT","NIN","NR4A1",NA
"IRF4","PSEN1","ODC1","NDP","NR0B2","NR4A2",NA
"IRF7","PSEN2","P2RX4","NFKB1","NR1H4","NR4A3",NA
"IRF8","PTK2","P4HA1","NFKBIA","NRP1","OLR1",NA
"ITGAL","RARA","PDCD2L","NLRP3","PCP4","PANX1",NA
"ITGB2","RELA","PENK","NMI","PCSK1N","PDE4B",NA
"ITK","RETSAT","PHLDA1","NMUR1","PDCD1LG2","PDLIM5",NA
"JAK2","RHOB","PHTF2","NOD2","PECAM1","PER1",NA
"KLRD1","RHOT2","PIM1","NPFFR2","PEG3","PFKFB3",NA
"KRT1","RNASEL","PLAGL1","OLR1","PIGR","PHLDA1",NA
"LCK","ROCK1","PLEC","OPRK1","PLAT","PHLDA2",NA
"LCP2","SAT1","PLIN2","OSM","PLAU","PLAU",NA
"LIF","SATB1","PLPP1","OSMR","PLAUR","PLAUR",NA
"LTB","SC5D","PLSCR1","P2RX4","PLEK2","PLEK",NA
"LY75","SLC20A1","PNP","P2RX7","PLVAP","PLK2",NA
"LY86","SMAD7","POU2F1","P2RY2","PPBP","PLPP3",NA
"LYN","SOD1","PRAF2","PCDH7","PPP1R15A","PMEPA1",NA
"MAP3K7","SOD2","PRKCH","PDE4B","PRDM1","PNRC1",NA
"MAP4K1","SPTAN1","PRNP","PDPN","PRELID3B","PPP1R15A",NA
"MBL2","SQSTM1","PTCH1","PIK3R5","PRKG2","PTGER4",NA
"MMP9","TAP1","PTGER2","PLAUR","PRRX1","PTGS2",NA
"MRPL3","TGFB2","PTH1R","PROK2","PSMB8","PTPRE",NA
"MTIF2","TGFBR3","PTRH2","PSEN1","PTBP2","PTX3",NA
"NCF4","TIMP1","PUS1","PTAFR","PTCD2","RCAN1",NA
"NCK1","TIMP2","RABGAP1L","PTGER2","PTGS2","REL",NA
"NCR1","TIMP3","RGS16","PTGER4","PTPRR","RELA",NA
"NLRP3","TNF","RHOB","PTGIR","RABGAP1L","RELB",NA
"NME1","TNFRSF12A","RHOH","PTPRE","RBM4","RHOB",NA
"NOS2","TNFSF10","RNH1","PVR","RBP4","RIGI",NA
"NPM1","TOP2A","RORA","RAF1","RELN","RIPK2",NA
"PF4","TSPO","RRAGD","RASGRP1","RETN","RNF19B",NA
"PRF1","TXNIP","S100A1","RELA","RGS16","SAT1",NA
"PRKCB","VDAC2","SCN9A","RGS1","SATB1","SDC4",NA
"PRKCG","WEE1","SELL","RGS16","SCG3","SERPINB2",NA
"PSMB10","XIAP","SELP","RHOG","SCG5","SERPINB8",NA
"PTPN6",NA,"SERPINB6","RIPK2","SCN1B","SERPINE1",NA
"PTPRC",NA,"SERPINC1","RNF144B","SDCCAG8","SGK1",NA
"RARS1",NA,"SH3BGRL2","ROS1","SEMA3B","SIK1",NA
"RIPK2",NA,"SHE","RTP4","SERPINA3","SLC16A6",NA
"RPL39",NA,"SLC1A5","SCARF1","SLPI","SLC2A3",NA
"RPL3L",NA,"SLC29A2","SCN1B","SNAP25","SLC2A6",NA
"RPL9",NA,"SLC2A3","SELE","SNAP91","SMAD3",NA
"RPS19",NA,"SLC39A8","SELENOS","SOX9","SNN",NA
"RPS3A",NA,"SMPDL3A","SELL","SPARCL1","SOCS3",NA
"RPS9",NA,"SNX14","SEMA4D","SPON1","SOD2",NA
"SIT1",NA,"SNX9","SERPINE1","SPP1","SPHK1",NA
"SOCS1",NA,"SOCS1","SGMS2","SPRY2","SPSB1",NA
"SOCS5",NA,"SOCS2","SLAMF1","ST6GAL1","SQSTM1",NA
"SPI1",NA,"SPP1","SLC11A2","STRN","STAT5A",NA
"SRGN",NA,"SPRED2","SLC1A2","TFPI","TANK",NA
"ST8SIA4",NA,"SPRY4","SLC28A2","TLR8","TAP1",NA
"STAB1",NA,"ST3GAL4","SLC31A1","TMEM100","TGIF1",NA
"STAT1",NA,"SWAP70","SLC31A2","TMEM158","TIPARP",NA
"STAT4",NA,"SYNGR2","SLC4A4","TMEM176A","TLR2",NA
"TAP1",NA,"SYT11","SLC7A1","TMEM176B","TNC",NA
"TAP2",NA,"TGM2","SLC7A2","TNFAIP3","TNF",NA
"TAPBP",NA,"TIAM1","SPHK1","TNFRSF1B","TNFAIP2",NA
"TGFB1",NA,"TLR7","SRI","TNNT2","TNFAIP3",NA
"TGFB2",NA,"TNFRSF18","STAB1","TOR1AIP2","TNFAIP6",NA
"THY1",NA,"TNFRSF1B","TACR1","TPH1","TNFAIP8",NA
"TIMP1",NA,"TNFRSF21","TACR3","TRAF1","TNFRSF9",NA
"TLR1",NA,"TNFRSF4","TAPBP","TRIB1","TNFSF9",NA
"TLR2",NA,"TNFRSF8","TIMP1","TRIB2","TNIP1",NA
"TLR3",NA,"TNFRSF9","TLR1","TSPAN1","TNIP2",NA
